特征,相关性,绝对相关性
引火源_传输线缆,-0.0011268785875043503,0.0011268785875043503
起火物_竹子,-0.0011268785875043436,0.0011268785875043436
引火源_刹车片过热,-0.0011268785875043184,0.0011268785875043184
起火物_电动自行车控制器,0.0011094478062246725,0.0011094478062246725
起火物_垃圾废弃物,0.0011094478062246612,0.0011094478062246612
引火源_天然气,0.0011094478062246597,0.0011094478062246597
起火物_三轮车,0.0011094478062246536,0.0011094478062246536
引火源_取暖器,0.0011094478062246534,0.0011094478062246534
起火物_电瓶,0.0011094478062246527,0.0011094478062246527
起火位置_排烟机房、水泵房等其他设备用房,0.0011094478062246462,0.0011094478062246462
起火物_烟道,0.0011094478062246395,0.0011094478062246395
起火物类型_摩托车,0.0011094478062246384,0.0011094478062246384
引火源_电器故障,0.0011094478062246306,0.0011094478062246306
起火物_行李箱,0.0011094478062246298,0.0011094478062246298
起火位置_包厢、包房,0.0011094478062246278,0.0011094478062246278
起火位置_室内交通场站,0.001109447806224627,0.001109447806224627
起火物_新能源汽车电池,0.0011094478062246198,0.0011094478062246198
起火物_落叶,0.0011094478062246085,0.0011094478062246085
引火源_机油,0.0011094478062246072,0.0011094478062246072
起火物_控制器,0.0011094478062246029,0.0011094478062246029
起火物类型_平衡车,0.0011094478062245992,0.0011094478062245992
起火物_不锈钢锅,0.001109447806224598,0.001109447806224598
起火物_玩具车,0.0011094478062245974,0.0011094478062245974
引火源_有人看守烧垃圾,0.0011094478062245968,0.0011094478062245968
起火物_食品,0.0011094478062245964,0.0011094478062245964
起火物_燃气炉具,0.0011094478062245946,0.0011094478062245946
起火物_厨房用具,0.001109447806224591,0.001109447806224591
起火物_煤炭,0.0011094478062245643,0.0011094478062245643
引火源_电气线路故障,-0.0011085512141788582,0.0011085512141788582
引火源_锂电池热失控,-0.0011085512141788556,0.0011085512141788556
起火物类型_化学原料及制品,0.0011011330404841005,0.0011011330404841005
起火物_电器设备,0.0011011330404840983,0.0011011330404840983
引火源_电池,0.0010867844952354082,0.0010867844952354082
起火物_油锅起火,-0.0010829166423822422,0.0010829166423822422
起火物_室外电表箱,-0.001082916642382201,0.001082916642382201
起火物_树,-0.0010147987101331978,0.0010147987101331978
起火物_电缆线,-0.0010147987101331972,0.0010147987101331972
起火位置_油烟管道、集油池,-0.0010147987101331878,0.0010147987101331878
起火物_汤锅,-0.001014798710133169,0.001014798710133169
起火位置_临时室内仓库,0.0010082852968876005,0.0010082852968876005
引火源_电动车电池,0.001008285296887589,0.001008285296887589
起火物_面包车,0.001008285296887581,0.001008285296887581
起火物_室内电表箱,0.0010082852968875617,0.0010082852968875617
起火物_蓄电池,0.0009760600848611307,0.0009760600848611307
引火源_刹车盘过热,-0.0009758736626570552,0.0009758736626570552
起火物_干树枝,-0.0009758736626570237,0.0009758736626570237
引火源_线缆,-0.0009758736626570228,0.0009758736626570228
起火物_垃圾废品,-0.0009758736626570186,0.0009758736626570186
引火源_电吹风机,-0.0009758736626570134,0.0009758736626570134
起火物_外墙电线,-0.0009758736626570082,0.0009758736626570082
起火物_电表电线,-0.0009758736626570063,0.0009758736626570063
起火物_纸箱杂物,-0.0009758736626570052,0.0009758736626570052
起火物_垃圾杂草,-0.0009758736626569917,0.0009758736626569917
起火物_空调挂机,-0.0009758736626569795,0.0009758736626569795
引火源_油锅起火引发火灾,-0.0009758736626569744,0.0009758736626569744
起火物_车轮,-0.0009758736626569732,0.0009758736626569732
起火物类型_燃气,-0.000975873662656971,0.000975873662656971
起火物_道路绿化带,-0.0009758736626569674,0.0009758736626569674
起火物_纸皮等杂物,-0.0009758736626569658,0.0009758736626569658
起火物_电能表,-0.0009758736626569655,0.0009758736626569655
起火物_垃圾堆垛,-0.0009758736626569645,0.0009758736626569645
引火源_摩擦起火,-0.0009758736626569627,0.0009758736626569627
引火源_艾条,-0.0009758736626569617,0.0009758736626569617
起火物_管道,-0.0009758736626569614,0.0009758736626569614
起火物_机器设备,-0.0009758736626569611,0.0009758736626569611
起火物_塑料包装,-0.0009758736626569607,0.0009758736626569607
起火物_漏电保护开关,-0.0009758736626569606,0.0009758736626569606
引火源_消毒柜,-0.0009758736626569605,0.0009758736626569605
起火物_塑料桶,-0.0009758736626569603,0.0009758736626569603
起火物_电动两轮自行车,-0.00097587366265696,0.00097587366265696
起火物_木桌,-0.0009758736626569599,0.0009758736626569599
引火源_冰箱,-0.0009758736626569599,0.0009758736626569599
起火物_枕头,-0.0009758736626569597,0.0009758736626569597
起火物_乘用车,-0.0009758736626569593,0.0009758736626569593
起火物_换电柜,-0.0009758736626569592,0.0009758736626569592
引火源_热表面,-0.000975873662656959,0.000975873662656959
引火源_灶台,-0.000975873662656959,0.000975873662656959
起火物_数控机床,-0.000975873662656959,0.000975873662656959
